# Arabic Unicode inventory. Language-axis maps remain urdu_map / lang_*.csv (lossy).
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+FCC4	ﳄ	ARABIC LIGATURE KAF WITH JEEM INITIAL FORM
U+FCC5	ﳅ	ARABIC LIGATURE KAF WITH HAH INITIAL FORM
U+FCC6	ﳆ	ARABIC LIGATURE KAF WITH KHAH INITIAL FORM
U+FCC7	ﳇ	ARABIC LIGATURE KAF WITH LAM INITIAL FORM
U+FCC8	ﳈ	ARABIC LIGATURE KAF WITH MEEM INITIAL FORM
U+FCC9	ﳉ	ARABIC LIGATURE LAM WITH JEEM INITIAL FORM
U+FCCA	ﳊ	ARABIC LIGATURE LAM WITH HAH INITIAL FORM
U+FCCB	ﳋ	ARABIC LIGATURE LAM WITH KHAH INITIAL FORM
U+FCCC	ﳌ	ARABIC LIGATURE LAM WITH MEEM INITIAL FORM
U+FCCD	ﳍ	ARABIC LIGATURE LAM WITH HEH INITIAL FORM
U+FCCE	ﳎ	ARABIC LIGATURE MEEM WITH JEEM INITIAL FORM
U+FCCF	ﳏ	ARABIC LIGATURE MEEM WITH HAH INITIAL FORM
U+FCD0	ﳐ	ARABIC LIGATURE MEEM WITH KHAH INITIAL FORM
U+FCD1	ﳑ	ARABIC LIGATURE MEEM WITH MEEM INITIAL FORM
U+FCD2	ﳒ	ARABIC LIGATURE NOON WITH JEEM INITIAL FORM
U+FCD3	ﳓ	ARABIC LIGATURE NOON WITH HAH INITIAL FORM
U+FCD4	ﳔ	ARABIC LIGATURE NOON WITH KHAH INITIAL FORM
U+FCD5	ﳕ	ARABIC LIGATURE NOON WITH MEEM INITIAL FORM
U+FCD6	ﳖ	ARABIC LIGATURE NOON WITH HEH INITIAL FORM
U+FCD7	ﳗ	ARABIC LIGATURE HEH WITH JEEM INITIAL FORM
U+FCD8	ﳘ	ARABIC LIGATURE HEH WITH MEEM INITIAL FORM
U+FCD9	ﳙ	ARABIC LIGATURE HEH WITH SUPERSCRIPT ALEF INITIAL FORM
U+FCDA	ﳚ	ARABIC LIGATURE YEH WITH JEEM INITIAL FORM
U+FCDB	ﳛ	ARABIC LIGATURE YEH WITH HAH INITIAL FORM
U+FCDC	ﳜ	ARABIC LIGATURE YEH WITH KHAH INITIAL FORM
U+FCDD	ﳝ	ARABIC LIGATURE YEH WITH MEEM INITIAL FORM
U+FCDE	ﳞ	ARABIC LIGATURE YEH WITH HEH INITIAL FORM
U+FCDF	ﳟ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH MEEM MEDIAL FORM
U+FCE0	ﳠ	ARABIC LIGATURE YEH WITH HAMZA ABOVE WITH HEH MEDIAL FORM
U+FCE1	ﳡ	ARABIC LIGATURE BEH WITH MEEM MEDIAL FORM
U+FCE2	ﳢ	ARABIC LIGATURE BEH WITH HEH MEDIAL FORM
U+FCE3	ﳣ	ARABIC LIGATURE TEH WITH MEEM MEDIAL FORM
U+FCE4	ﳤ	ARABIC LIGATURE TEH WITH HEH MEDIAL FORM
U+FCE5	ﳥ	ARABIC LIGATURE THEH WITH MEEM MEDIAL FORM
U+FCE6	ﳦ	ARABIC LIGATURE THEH WITH HEH MEDIAL FORM
U+FCE7	ﳧ	ARABIC LIGATURE SEEN WITH MEEM MEDIAL FORM
U+FCE8	ﳨ	ARABIC LIGATURE SEEN WITH HEH MEDIAL FORM
U+FCE9	ﳩ	ARABIC LIGATURE SHEEN WITH MEEM MEDIAL FORM
U+FCEA	ﳪ	ARABIC LIGATURE SHEEN WITH HEH MEDIAL FORM
U+FCEB	ﳫ	ARABIC LIGATURE KAF WITH LAM MEDIAL FORM
U+FCEC	ﳬ	ARABIC LIGATURE KAF WITH MEEM MEDIAL FORM
U+FCED	ﳭ	ARABIC LIGATURE LAM WITH MEEM MEDIAL FORM
U+FCEE	ﳮ	ARABIC LIGATURE NOON WITH MEEM MEDIAL FORM
U+FCEF	ﳯ	ARABIC LIGATURE NOON WITH HEH MEDIAL FORM
U+FCF0	ﳰ	ARABIC LIGATURE YEH WITH MEEM MEDIAL FORM
U+FCF1	ﳱ	ARABIC LIGATURE YEH WITH HEH MEDIAL FORM
U+FCF2	ﳲ	ARABIC LIGATURE SHADDA WITH FATHA MEDIAL FORM
U+FCF3	ﳳ	ARABIC LIGATURE SHADDA WITH DAMMA MEDIAL FORM
U+FCF4	ﳴ	ARABIC LIGATURE SHADDA WITH KASRA MEDIAL FORM
U+FCF5	ﳵ	ARABIC LIGATURE TAH WITH ALEF MAKSURA ISOLATED FORM
U+FCF6	ﳶ	ARABIC LIGATURE TAH WITH YEH ISOLATED FORM
U+FCF7	ﳷ	ARABIC LIGATURE AIN WITH ALEF MAKSURA ISOLATED FORM
U+FCF8	ﳸ	ARABIC LIGATURE AIN WITH YEH ISOLATED FORM
U+FCF9	ﳹ	ARABIC LIGATURE GHAIN WITH ALEF MAKSURA ISOLATED FORM
U+FCFA	ﳺ	ARABIC LIGATURE GHAIN WITH YEH ISOLATED FORM
U+FCFB	ﳻ	ARABIC LIGATURE SEEN WITH ALEF MAKSURA ISOLATED FORM
U+FCFC	ﳼ	ARABIC LIGATURE SEEN WITH YEH ISOLATED FORM
U+FCFD	ﳽ	ARABIC LIGATURE SHEEN WITH ALEF MAKSURA ISOLATED FORM
U+FCFE	ﳾ	ARABIC LIGATURE SHEEN WITH YEH ISOLATED FORM
U+FCFF	ﳿ	ARABIC LIGATURE HAH WITH ALEF MAKSURA ISOLATED FORM
U+FD00	ﴀ	ARABIC LIGATURE HAH WITH YEH ISOLATED FORM
U+FD01	ﴁ	ARABIC LIGATURE JEEM WITH ALEF MAKSURA ISOLATED FORM
U+FD02	ﴂ	ARABIC LIGATURE JEEM WITH YEH ISOLATED FORM
U+FD03	ﴃ	ARABIC LIGATURE KHAH WITH ALEF MAKSURA ISOLATED FORM
U+FD04	ﴄ	ARABIC LIGATURE KHAH WITH YEH ISOLATED FORM
U+FD05	ﴅ	ARABIC LIGATURE SAD WITH ALEF MAKSURA ISOLATED FORM
U+FD06	ﴆ	ARABIC LIGATURE SAD WITH YEH ISOLATED FORM
U+FD07	ﴇ	ARABIC LIGATURE DAD WITH ALEF MAKSURA ISOLATED FORM
U+FD08	ﴈ	ARABIC LIGATURE DAD WITH YEH ISOLATED FORM
U+FD09	ﴉ	ARABIC LIGATURE SHEEN WITH JEEM ISOLATED FORM
U+FD0A	ﴊ	ARABIC LIGATURE SHEEN WITH HAH ISOLATED FORM
U+FD0B	ﴋ	ARABIC LIGATURE SHEEN WITH KHAH ISOLATED FORM
U+FD0C	ﴌ	ARABIC LIGATURE SHEEN WITH MEEM ISOLATED FORM
U+FD0D	ﴍ	ARABIC LIGATURE SHEEN WITH REH ISOLATED FORM
U+FD0E	ﴎ	ARABIC LIGATURE SEEN WITH REH ISOLATED FORM
U+FD0F	ﴏ	ARABIC LIGATURE SAD WITH REH ISOLATED FORM
U+FD10	ﴐ	ARABIC LIGATURE DAD WITH REH ISOLATED FORM
U+FD11	ﴑ	ARABIC LIGATURE TAH WITH ALEF MAKSURA FINAL FORM
U+FD12	ﴒ	ARABIC LIGATURE TAH WITH YEH FINAL FORM
U+FD13	ﴓ	ARABIC LIGATURE AIN WITH ALEF MAKSURA FINAL FORM
U+FD14	ﴔ	ARABIC LIGATURE AIN WITH YEH FINAL FORM
U+FD15	ﴕ	ARABIC LIGATURE GHAIN WITH ALEF MAKSURA FINAL FORM
U+FD16	ﴖ	ARABIC LIGATURE GHAIN WITH YEH FINAL FORM
U+FD17	ﴗ	ARABIC LIGATURE SEEN WITH ALEF MAKSURA FINAL FORM
U+FD18	ﴘ	ARABIC LIGATURE SEEN WITH YEH FINAL FORM
U+FD19	ﴙ	ARABIC LIGATURE SHEEN WITH ALEF MAKSURA FINAL FORM
U+FD1A	ﴚ	ARABIC LIGATURE SHEEN WITH YEH FINAL FORM
U+FD1B	ﴛ	ARABIC LIGATURE HAH WITH ALEF MAKSURA FINAL FORM
U+FD1C	ﴜ	ARABIC LIGATURE HAH WITH YEH FINAL FORM
U+FD1D	ﴝ	ARABIC LIGATURE JEEM WITH ALEF MAKSURA FINAL FORM
U+FD1E	ﴞ	ARABIC LIGATURE JEEM WITH YEH FINAL FORM
U+FD1F	ﴟ	ARABIC LIGATURE KHAH WITH ALEF MAKSURA FINAL FORM
U+FD20	ﴠ	ARABIC LIGATURE KHAH WITH YEH FINAL FORM
U+FD21	ﴡ	ARABIC LIGATURE SAD WITH ALEF MAKSURA FINAL FORM
U+FD22	ﴢ	ARABIC LIGATURE SAD WITH YEH FINAL FORM
U+FD23	ﴣ	ARABIC LIGATURE DAD WITH ALEF MAKSURA FINAL FORM
U+FD24	ﴤ	ARABIC LIGATURE DAD WITH YEH FINAL FORM
U+FD25	ﴥ	ARABIC LIGATURE SHEEN WITH JEEM FINAL FORM
U+FD26	ﴦ	ARABIC LIGATURE SHEEN WITH HAH FINAL FORM
U+FD27	ﴧ	ARABIC LIGATURE SHEEN WITH KHAH FINAL FORM
U+FD28	ﴨ	ARABIC LIGATURE SHEEN WITH MEEM FINAL FORM
U+FD29	ﴩ	ARABIC LIGATURE SHEEN WITH REH FINAL FORM
U+FD2A	ﴪ	ARABIC LIGATURE SEEN WITH REH FINAL FORM
U+FD2B	ﴫ	ARABIC LIGATURE SAD WITH REH FINAL FORM
U+FD2C	ﴬ	ARABIC LIGATURE DAD WITH REH FINAL FORM
U+FD2D	ﴭ	ARABIC LIGATURE SHEEN WITH JEEM INITIAL FORM
U+FD2E	ﴮ	ARABIC LIGATURE SHEEN WITH HAH INITIAL FORM
U+FD2F	ﴯ	ARABIC LIGATURE SHEEN WITH KHAH INITIAL FORM
U+FD30	ﴰ	ARABIC LIGATURE SHEEN WITH MEEM INITIAL FORM
U+FD31	ﴱ	ARABIC LIGATURE SEEN WITH HEH INITIAL FORM
U+FD32	ﴲ	ARABIC LIGATURE SHEEN WITH HEH INITIAL FORM
U+FD33	ﴳ	ARABIC LIGATURE TAH WITH MEEM INITIAL FORM
U+FD34	ﴴ	ARABIC LIGATURE SEEN WITH JEEM MEDIAL FORM
U+FD35	ﴵ	ARABIC LIGATURE SEEN WITH HAH MEDIAL FORM
U+FD36	ﴶ	ARABIC LIGATURE SEEN WITH KHAH MEDIAL FORM
U+FD37	ﴷ	ARABIC LIGATURE SHEEN WITH JEEM MEDIAL FORM
U+FD38	ﴸ	ARABIC LIGATURE SHEEN WITH HAH MEDIAL FORM
U+FD39	ﴹ	ARABIC LIGATURE SHEEN WITH KHAH MEDIAL FORM
U+FD3A	ﴺ	ARABIC LIGATURE TAH WITH MEEM MEDIAL FORM
U+FD3B	ﴻ	ARABIC LIGATURE ZAH WITH MEEM MEDIAL FORM
U+FD3C	ﴼ	ARABIC LIGATURE ALEF WITH FATHATAN FINAL FORM
U+FD3D	ﴽ	ARABIC LIGATURE ALEF WITH FATHATAN ISOLATED FORM
U+FD50	ﵐ	ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM
U+FD51	ﵑ	ARABIC LIGATURE TEH WITH HAH WITH JEEM FINAL FORM
U+FD52	ﵒ	ARABIC LIGATURE TEH WITH HAH WITH JEEM INITIAL FORM
U+FD53	ﵓ	ARABIC LIGATURE TEH WITH HAH WITH MEEM INITIAL FORM
U+FD54	ﵔ	ARABIC LIGATURE TEH WITH KHAH WITH MEEM INITIAL FORM
U+FD55	ﵕ	ARABIC LIGATURE TEH WITH MEEM WITH JEEM INITIAL FORM
U+FD56	ﵖ	ARABIC LIGATURE TEH WITH MEEM WITH HAH INITIAL FORM
U+FD57	ﵗ	ARABIC LIGATURE TEH WITH MEEM WITH KHAH INITIAL FORM
U+FD58	ﵘ	ARABIC LIGATURE JEEM WITH MEEM WITH HAH FINAL FORM
U+FD59	ﵙ	ARABIC LIGATURE JEEM WITH MEEM WITH HAH INITIAL FORM
U+FD5A	ﵚ	ARABIC LIGATURE HAH WITH MEEM WITH YEH FINAL FORM
U+FD5B	ﵛ	ARABIC LIGATURE HAH WITH MEEM WITH ALEF MAKSURA FINAL FORM
U+FD5C	ﵜ	ARABIC LIGATURE SEEN WITH HAH WITH JEEM INITIAL FORM
U+FD5D	ﵝ	ARABIC LIGATURE SEEN WITH JEEM WITH HAH INITIAL FORM
U+FD5E	ﵞ	ARABIC LIGATURE SEEN WITH JEEM WITH ALEF MAKSURA FINAL FORM
U+FD5F	ﵟ	ARABIC LIGATURE SEEN WITH MEEM WITH HAH FINAL FORM
U+FD60	ﵠ	ARABIC LIGATURE SEEN WITH MEEM WITH HAH INITIAL FORM
U+FD61	ﵡ	ARABIC LIGATURE SEEN WITH MEEM WITH JEEM INITIAL FORM
U+FD62	ﵢ	ARABIC LIGATURE SEEN WITH MEEM WITH MEEM FINAL FORM
U+FD63	ﵣ	ARABIC LIGATURE SEEN WITH MEEM WITH MEEM INITIAL FORM
U+FD64	ﵤ	ARABIC LIGATURE SAD WITH HAH WITH HAH FINAL FORM
U+FD65	ﵥ	ARABIC LIGATURE SAD WITH HAH WITH HAH INITIAL FORM
U+FD66	ﵦ	ARABIC LIGATURE SAD WITH MEEM WITH MEEM FINAL FORM
U+FD67	ﵧ	ARABIC LIGATURE SHEEN WITH HAH WITH MEEM FINAL FORM
U+FD68	ﵨ	ARABIC LIGATURE SHEEN WITH HAH WITH MEEM INITIAL FORM
U+FD69	ﵩ	ARABIC LIGATURE SHEEN WITH JEEM WITH YEH FINAL FORM
U+FD6A	ﵪ	ARABIC LIGATURE SHEEN WITH MEEM WITH KHAH FINAL FORM
U+FD6B	ﵫ	ARABIC LIGATURE SHEEN WITH MEEM WITH KHAH INITIAL FORM
U+FD6C	ﵬ	ARABIC LIGATURE SHEEN WITH MEEM WITH MEEM FINAL FORM
U+FD6D	ﵭ	ARABIC LIGATURE SHEEN WITH MEEM WITH MEEM INITIAL FORM
U+FD6E	ﵮ	ARABIC LIGATURE DAD WITH HAH WITH ALEF MAKSURA FINAL FORM
U+FD6F	ﵯ	ARABIC LIGATURE DAD WITH KHAH WITH MEEM FINAL FORM
U+FD70	ﵰ	ARABIC LIGATURE DAD WITH KHAH WITH MEEM INITIAL FORM
U+FD71	ﵱ	ARABIC LIGATURE TAH WITH MEEM WITH HAH FINAL FORM
U+FD72	ﵲ	ARABIC LIGATURE TAH WITH MEEM WITH HAH INITIAL FORM
U+FD73	ﵳ	ARABIC LIGATURE TAH WITH MEEM WITH MEEM INITIAL FORM
U+FD74	ﵴ	ARABIC LIGATURE TAH WITH MEEM WITH YEH FINAL FORM
U+FD75	ﵵ	ARABIC LIGATURE AIN WITH JEEM WITH MEEM FINAL FORM
U+FD76	ﵶ	ARABIC LIGATURE AIN WITH MEEM WITH MEEM FINAL FORM
U+FD77	ﵷ	ARABIC LIGATURE AIN WITH MEEM WITH MEEM INITIAL FORM
U+FD78	ﵸ	ARABIC LIGATURE AIN WITH MEEM WITH ALEF MAKSURA FINAL FORM
U+FD79	ﵹ	ARABIC LIGATURE GHAIN WITH MEEM WITH MEEM FINAL FORM
U+FD7A	ﵺ	ARABIC LIGATURE GHAIN WITH MEEM WITH YEH FINAL FORM
U+FD7B	ﵻ	ARABIC LIGATURE GHAIN WITH MEEM WITH ALEF MAKSURA FINAL FORM
U+FD7C	ﵼ	ARABIC LIGATURE FEH WITH KHAH WITH MEEM FINAL FORM
U+FD7D	ﵽ	ARABIC LIGATURE FEH WITH KHAH WITH MEEM INITIAL FORM
U+FD7E	ﵾ	ARABIC LIGATURE QAF WITH MEEM WITH HAH FINAL FORM
U+FD7F	ﵿ	ARABIC LIGATURE QAF WITH MEEM WITH MEEM FINAL FORM
U+FD80	ﶀ	ARABIC LIGATURE LAM WITH HAH WITH MEEM FINAL FORM
U+FD81	ﶁ	ARABIC LIGATURE LAM WITH HAH WITH YEH FINAL FORM
U+FD82	ﶂ	ARABIC LIGATURE LAM WITH HAH WITH ALEF MAKSURA FINAL FORM
U+FD83	ﶃ	ARABIC LIGATURE LAM WITH JEEM WITH JEEM INITIAL FORM
U+FD84	ﶄ	ARABIC LIGATURE LAM WITH JEEM WITH JEEM FINAL FORM
U+FD85	ﶅ	ARABIC LIGATURE LAM WITH KHAH WITH MEEM FINAL FORM
U+FD86	ﶆ	ARABIC LIGATURE LAM WITH KHAH WITH MEEM INITIAL FORM
U+FD87	ﶇ	ARABIC LIGATURE LAM WITH MEEM WITH HAH FINAL FORM
U+FD88	ﶈ	ARABIC LIGATURE LAM WITH MEEM WITH HAH INITIAL FORM
U+FD89	ﶉ	ARABIC LIGATURE MEEM WITH HAH WITH JEEM INITIAL FORM
U+FD8A	ﶊ	ARABIC LIGATURE MEEM WITH HAH WITH MEEM INITIAL FORM
U+FD8B	ﶋ	ARABIC LIGATURE MEEM WITH HAH WITH YEH FINAL FORM
U+FD8C	ﶌ	ARABIC LIGATURE MEEM WITH JEEM WITH HAH INITIAL FORM
U+FD8D	ﶍ	ARABIC LIGATURE MEEM WITH JEEM WITH MEEM INITIAL FORM
U+FD8E	ﶎ	ARABIC LIGATURE MEEM WITH KHAH WITH JEEM INITIAL FORM
U+FD8F	ﶏ	ARABIC LIGATURE MEEM WITH KHAH WITH MEEM INITIAL FORM
U+FD92	ﶒ	ARABIC LIGATURE MEEM WITH JEEM WITH KHAH INITIAL FORM
U+FD93	ﶓ	ARABIC LIGATURE HEH WITH MEEM WITH JEEM INITIAL FORM
U+FD94	ﶔ	ARABIC LIGATURE HEH WITH MEEM WITH MEEM INITIAL FORM
U+FD95	ﶕ	ARABIC LIGATURE NOON WITH HAH WITH MEEM INITIAL FORM
U+FD96	ﶖ	ARABIC LIGATURE NOON WITH HAH WITH ALEF MAKSURA FINAL FORM
U+FD97	ﶗ	ARABIC LIGATURE NOON WITH JEEM WITH MEEM FINAL FORM
U+FD98	ﶘ	ARABIC LIGATURE NOON WITH JEEM WITH MEEM INITIAL FORM
U+FD99	ﶙ	ARABIC LIGATURE NOON WITH JEEM WITH ALEF MAKSURA FINAL FORM
U+FD9A	ﶚ	ARABIC LIGATURE NOON WITH MEEM WITH YEH FINAL FORM
U+FD9B	ﶛ	ARABIC LIGATURE NOON WITH MEEM WITH ALEF MAKSURA FINAL FORM
U+FD9C	ﶜ	ARABIC LIGATURE YEH WITH MEEM WITH MEEM FINAL FORM
U+FD9D	ﶝ	ARABIC LIGATURE YEH WITH MEEM WITH MEEM INITIAL FORM
U+FD9E	ﶞ	ARABIC LIGATURE BEH WITH KHAH WITH YEH FINAL FORM
U+FD9F	ﶟ	ARABIC LIGATURE TEH WITH JEEM WITH YEH FINAL FORM
U+FDA0	ﶠ	ARABIC LIGATURE TEH WITH JEEM WITH ALEF MAKSURA FINAL FORM
U+FDA1	ﶡ	ARABIC LIGATURE TEH WITH KHAH WITH YEH FINAL FORM
U+FDA2	ﶢ	ARABIC LIGATURE TEH WITH KHAH WITH ALEF MAKSURA FINAL FORM
U+FDA3	ﶣ	ARABIC LIGATURE TEH WITH MEEM WITH YEH FINAL FORM
U+FDA4	ﶤ	ARABIC LIGATURE TEH WITH MEEM WITH ALEF MAKSURA FINAL FORM
U+FDA5	ﶥ	ARABIC LIGATURE JEEM WITH MEEM WITH YEH FINAL FORM
U+FDA6	ﶦ	ARABIC LIGATURE JEEM WITH HAH WITH ALEF MAKSURA FINAL FORM
U+FDA7	ﶧ	ARABIC LIGATURE JEEM WITH MEEM WITH ALEF MAKSURA FINAL FORM
U+FDA8	ﶨ	ARABIC LIGATURE SEEN WITH KHAH WITH ALEF MAKSURA FINAL FORM
U+FDA9	ﶩ	ARABIC LIGATURE SAD WITH HAH WITH YEH FINAL FORM
U+FDAA	ﶪ	ARABIC LIGATURE SHEEN WITH HAH WITH YEH FINAL FORM
U+FDAB	ﶫ	ARABIC LIGATURE DAD WITH HAH WITH YEH FINAL FORM
U+FDAC	ﶬ	ARABIC LIGATURE LAM WITH JEEM WITH YEH FINAL FORM
U+FDAD	ﶭ	ARABIC LIGATURE LAM WITH MEEM WITH YEH FINAL FORM
U+FDAE	ﶮ	ARABIC LIGATURE YEH WITH HAH WITH YEH FINAL FORM
U+FDAF	ﶯ	ARABIC LIGATURE YEH WITH JEEM WITH YEH FINAL FORM
U+FDB0	ﶰ	ARABIC LIGATURE YEH WITH MEEM WITH YEH FINAL FORM
U+FDB1	ﶱ	ARABIC LIGATURE MEEM WITH MEEM WITH YEH FINAL FORM
U+FDB2	ﶲ	ARABIC LIGATURE QAF WITH MEEM WITH YEH FINAL FORM
U+FDB3	ﶳ	ARABIC LIGATURE NOON WITH HAH WITH YEH FINAL FORM
U+FDB4	ﶴ	ARABIC LIGATURE QAF WITH MEEM WITH HAH INITIAL FORM
U+FDB5	ﶵ	ARABIC LIGATURE LAM WITH HAH WITH MEEM INITIAL FORM
U+FDB6	ﶶ	ARABIC LIGATURE AIN WITH MEEM WITH YEH FINAL FORM
U+FDB7	ﶷ	ARABIC LIGATURE KAF WITH MEEM WITH YEH FINAL FORM
U+FDB8	ﶸ	ARABIC LIGATURE NOON WITH JEEM WITH HAH INITIAL FORM
U+FDB9	ﶹ	ARABIC LIGATURE MEEM WITH KHAH WITH YEH FINAL FORM
U+FDBA	ﶺ	ARABIC LIGATURE LAM WITH JEEM WITH MEEM INITIAL FORM
U+FDBB	ﶻ	ARABIC LIGATURE KAF WITH MEEM WITH MEEM FINAL FORM
U+FDBC	ﶼ	ARABIC LIGATURE LAM WITH JEEM WITH MEEM FINAL FORM
U+FDBD	ﶽ	ARABIC LIGATURE NOON WITH JEEM WITH HAH FINAL FORM
U+FDBE	ﶾ	ARABIC LIGATURE JEEM WITH HAH WITH YEH FINAL FORM
U+FDBF	ﶿ	ARABIC LIGATURE HAH WITH JEEM WITH YEH FINAL FORM
U+FDC0	ﷀ	ARABIC LIGATURE MEEM WITH JEEM WITH YEH FINAL FORM
U+FDC1	ﷁ	ARABIC LIGATURE FEH WITH MEEM WITH YEH FINAL FORM
U+FDC2	ﷂ	ARABIC LIGATURE BEH WITH HAH WITH YEH FINAL FORM
U+FDC3	ﷃ	ARABIC LIGATURE KAF WITH MEEM WITH MEEM INITIAL FORM
U+FDC4	ﷄ	ARABIC LIGATURE AIN WITH JEEM WITH MEEM INITIAL FORM
U+FDC5	ﷅ	ARABIC LIGATURE SAD WITH MEEM WITH MEEM INITIAL FORM
U+FDC6	ﷆ	ARABIC LIGATURE SEEN WITH KHAH WITH YEH FINAL FORM
U+FDC7	ﷇ	ARABIC LIGATURE NOON WITH JEEM WITH YEH FINAL FORM
U+FDF0	ﷰ	ARABIC LIGATURE SALLA USED AS KORANIC STOP SIGN ISOLATED FORM
U+FDF1	ﷱ	ARABIC LIGATURE QALA USED AS KORANIC STOP SIGN ISOLATED FORM
U+FDF2	ﷲ	ARABIC LIGATURE ALLAH ISOLATED FORM
U+FDF3	ﷳ	ARABIC LIGATURE AKBAR ISOLATED FORM
U+FDF4	ﷴ	ARABIC LIGATURE MOHAMMAD ISOLATED FORM
U+FDF5	ﷵ	ARABIC LIGATURE SALAM ISOLATED FORM
U+FDF6	ﷶ	ARABIC LIGATURE RASOUL ISOLATED FORM
U+FDF7	ﷷ	ARABIC LIGATURE ALAYHE ISOLATED FORM
U+FDF8	ﷸ	ARABIC LIGATURE WASALLAM ISOLATED FORM
U+FDF9	ﷹ	ARABIC LIGATURE SALLA ISOLATED FORM
U+FDFA	ﷺ	ARABIC LIGATURE SALLALLAHOU ALAYHE WASALLAM
U+FDFB	ﷻ	ARABIC LIGATURE JALLAJALALOUHOU
U+FDFD	﷽	ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM
U+FE70	ﹰ	ARABIC FATHATAN ISOLATED FORM
U+FE71	ﹱ	ARABIC TATWEEL WITH FATHATAN ABOVE
U+FE72	ﹲ	ARABIC DAMMATAN ISOLATED FORM
U+FE73	ﹳ	ARABIC TAIL FRAGMENT
U+FE74	ﹴ	ARABIC KASRATAN ISOLATED FORM
U+FE76	ﹶ	ARABIC FATHA ISOLATED FORM
U+FE77	ﹷ	ARABIC FATHA MEDIAL FORM
U+FE78	ﹸ	ARABIC DAMMA ISOLATED FORM
U+FE79	ﹹ	ARABIC DAMMA MEDIAL FORM
U+FE7A	ﹺ	ARABIC KASRA ISOLATED FORM
U+FE7B	ﹻ	ARABIC KASRA MEDIAL FORM
U+FE7C	ﹼ	ARABIC SHADDA ISOLATED FORM
U+FE7D	ﹽ	ARABIC SHADDA MEDIAL FORM
U+FE7E	ﹾ	ARABIC SUKUN ISOLATED FORM
U+FE7F	ﹿ	ARABIC SUKUN MEDIAL FORM
U+FE80	ﺀ	ARABIC LETTER HAMZA ISOLATED FORM
U+FE81	ﺁ	ARABIC LETTER ALEF WITH MADDA ABOVE ISOLATED FORM
U+FE82	ﺂ	ARABIC LETTER ALEF WITH MADDA ABOVE FINAL FORM
U+FE83	ﺃ	ARABIC LETTER ALEF WITH HAMZA ABOVE ISOLATED FORM
U+FE84	ﺄ	ARABIC LETTER ALEF WITH HAMZA ABOVE FINAL FORM
U+FE85	ﺅ	ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM
U+FE86	ﺆ	ARABIC LETTER WAW WITH HAMZA ABOVE FINAL FORM
U+FE87	ﺇ	ARABIC LETTER ALEF WITH HAMZA BELOW ISOLATED FORM
U+FE88	ﺈ	ARABIC LETTER ALEF WITH HAMZA BELOW FINAL FORM
U+FE89	ﺉ	ARABIC LETTER YEH WITH HAMZA ABOVE ISOLATED FORM
U+FE8A	ﺊ	ARABIC LETTER YEH WITH HAMZA ABOVE FINAL FORM
U+FE8B	ﺋ	ARABIC LETTER YEH WITH HAMZA ABOVE INITIAL FORM
U+FE8C	ﺌ	ARABIC LETTER YEH WITH HAMZA ABOVE MEDIAL FORM
U+FE8D	ﺍ	ARABIC LETTER ALEF ISOLATED FORM
U+FE8E	ﺎ	ARABIC LETTER ALEF FINAL FORM
U+FE8F	ﺏ	ARABIC LETTER BEH ISOLATED FORM
U+FE90	ﺐ	ARABIC LETTER BEH FINAL FORM
U+FE91	ﺑ	ARABIC LETTER BEH INITIAL FORM
U+FE92	ﺒ	ARABIC LETTER BEH MEDIAL FORM
U+FE93	ﺓ	ARABIC LETTER TEH MARBUTA ISOLATED FORM
U+FE94	ﺔ	ARABIC LETTER TEH MARBUTA FINAL FORM
U+FE95	ﺕ	ARABIC LETTER TEH ISOLATED FORM
U+FE96	ﺖ	ARABIC LETTER TEH FINAL FORM
U+FE97	ﺗ	ARABIC LETTER TEH INITIAL FORM
U+FE98	ﺘ	ARABIC LETTER TEH MEDIAL FORM
U+FE99	ﺙ	ARABIC LETTER THEH ISOLATED FORM
U+FE9A	ﺚ	ARABIC LETTER THEH FINAL FORM
U+FE9B	ﺛ	ARABIC LETTER THEH INITIAL FORM
U+FE9C	ﺜ	ARABIC LETTER THEH MEDIAL FORM
U+FE9D	ﺝ	ARABIC LETTER JEEM ISOLATED FORM
U+FE9E	ﺞ	ARABIC LETTER JEEM FINAL FORM
U+FE9F	ﺟ	ARABIC LETTER JEEM INITIAL FORM
U+FEA0	ﺠ	ARABIC LETTER JEEM MEDIAL FORM
U+FEA1	ﺡ	ARABIC LETTER HAH ISOLATED FORM
U+FEA2	ﺢ	ARABIC LETTER HAH FINAL FORM
U+FEA3	ﺣ	ARABIC LETTER HAH INITIAL FORM
U+FEA4	ﺤ	ARABIC LETTER HAH MEDIAL FORM
U+FEA5	ﺥ	ARABIC LETTER KHAH ISOLATED FORM
U+FEA6	ﺦ	ARABIC LETTER KHAH FINAL FORM
U+FEA7	ﺧ	ARABIC LETTER KHAH INITIAL FORM
U+FEA8	ﺨ	ARABIC LETTER KHAH MEDIAL FORM
